"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書",,,,,,
項次,編碼,類別,書名,出版社,數量,備註
85,平圖贈00085,繪本,"說一聲""再見""",啟思圖書,1,藍
86,平圖贈00086,繪本,小郭菲的形狀書,啟思圖書,1,藍
87,平圖贈00087,繪本,請說些神奇的話,啟思圖書,1,藍
88,平圖贈00088,繪本,小艾摩的顏色書,啟思圖書,1,藍
89,平圖贈00089,繪本,安靜一下,啟思圖書,1,藍
90,平圖贈00090,繪本,小老鼠救大獅子,世一,1,藍
91,平圖贈00091,繪本,靈犬萊西,將門,1,藍
92,平圖贈00092,繪本,小紅帽,幼華,1,藍
93,平圖贈00093,繪本,姆指仙童,幼華,1,藍
94,平圖贈00094,自然,捕捉流星,啟思圖書,1,綠
95,平圖贈00095,自然,穿越銀河,啟思圖書,1,綠
96,平圖贈00096,自然,小小天地70,小小天地,1,藍
97,平圖贈00097,自然,小小天地73,小小天地,1,藍
98,平圖贈00098,自然,小小天地69,小小天地,1,藍
99,平圖贈00099,自然,小小天地71,小小天地,1,藍
100,平圖贈00100,繪本,巫婆奇遇記,鹿橋文化,1,藍
101,平圖贈00101,繪本,動物狂歡節,鹿橋文化,1,藍
102,平圖贈00102,繪本,花兒的宴會,美育旺旺,1,藍
103,平圖贈00103,繪本,國語月刊75,國語月刊,1,藍
104,平圖贈00104,繪本,提燈籠,鹿橋文化,1,藍
105,平圖贈00105,繪本,ㄇㄚㄌ一ㄇㄨㄌ一變變變,鹿橋文化,1,藍
106,平圖贈00106,繪本,小松鼠的秋天學校,美育旺旺,1,藍
107,平圖贈00107,繪本,夢幻溪的嘉年華會,鹿橋文化,1,藍
108,平圖贈00108,繪本,小小天地68,小小天地,1,藍
109,平圖贈00109,繪本,重返侏儸紀,世一,1,藍
110,平圖贈00110,繪本,巧連智寶寶版2,貝樂思,1,藍
111,平圖贈00111,繪本,巧連智寶寶版5,貝樂思,1,藍
112,平圖贈00112,繪本,巧連智寶寶版1,貝樂思,1,藍
113,平圖贈00113,繪本,宇宙超級怪獸圖鑑,陽銘,1,藍
114,平圖贈00114,自然,小小天地67,小小天地,1,綠
115,平圖贈00115,自然,鱷魚的大尖牙,親親自然,1,綠
116,平圖贈00116,繪本,彩色世界童話寶盒,陽銘,1,藍
117,平圖贈00117,自然,親親自然28,親親自然,1,綠
118,平圖贈00118,自然,小小天地66,小小天地,1,藍
119,平圖贈00119,繪本,妖精的願望,鹿橋文化,1,藍
120,平圖贈00120,繪本,神奇屋,鹿橋文化,1,藍
121,平圖贈00121,繪本,四季大崗山,高雄縣政府,1,藍
122,平圖贈00122,繪本,巧連智2005-9,貝樂斯,1,藍
123,平圖贈00123,繪本,巧連智2009-1,貝樂斯,1,藍
124,平圖贈00124,繪本,找一找美味櫻桃在哪裡?,風車圖書,1,藍
125,平圖贈00125,繪本,找一找漂亮蝴蝶在哪裡?,風車圖書,1,藍
126,平圖贈00126,繪本,找一找我的烏龜在哪裡?,風車圖書,1,藍
127,平圖贈00127,繪本,找一找彩色襪子在哪裡?,風車圖書,1,藍
128,平圖贈00128,繪本,哇!是小白兔耶…,風車圖書,1,藍
129,平圖贈00129,繪本,你看，好漂亮的蝴蝶耶…,風車圖書,1,藍
130,平圖贈00130,繪本,毛絨絨的小熊熊，真的好可愛唷！,風車圖書,1,藍
131,平圖贈00131,繪本,普琳兒不見了,經典傳訊,1,藍
132,平圖贈00132,繪本,海邊的朋友,經典傳訊,1,藍
133,平圖贈00133,自然,動物,巧育,1,綠
134,平圖贈00134,自然,恐龍(下),巧育,1,綠
135,平圖贈00135,繪本,瑪莉亞小綿羊,大步文化,1,藍
136,平圖贈00136,繪本,Rainbow Surprise,Dlgest,1,藍
137,平圖贈00137,繪本,戴帽子的貓,遠流,1,藍
138,平圖贈00138,繪本,寶寶數學,世一,1,藍
139,平圖贈00139,繪本,好吃的水果,風車圖書,1,藍
140,平圖贈00140,繪本,五彩遊戲,風車圖書,1,藍
141,平圖贈00141,繪本,黑白遊戲,風車圖書,1,藍
142,平圖贈00141-1,繪本,黑白遊戲,風車圖書,1,藍
143,平圖贈00142,繪本,黑白視覺遊戲,風車圖書,1,藍
144,平圖贈00143,繪本,白雪公主與七矮人,風車圖書,1,藍
145,平圖贈00144,繪本,十二生肖,風車圖書,1,藍
146,平圖贈00145,繪本,人魚公主,風車圖書,1,藍
147,平圖贈00145-1,繪本,人魚公主,風車圖書,1,藍
148,平圖贈00146,繪本,小紅帽,風車圖書,1,藍
149,平圖贈00147,繪本,醜小鴨,風車圖書,1,藍
150,平圖贈00148,繪本,賣香屁,風車圖書,1,藍
151,平圖贈00149,繪本,拇指姑娘,風車圖書,1,藍
152,平圖贈00150,繪本,阿里巴巴與四十大盜,風車圖書,1,藍
153,平圖贈00151,繪本,仙履奇緣,風車圖書,1,藍
154,平圖贈00151-1,繪本,仙履奇緣,風車圖書,1,藍
155,平圖贈00152,繪本,賣火柴的女孩,風車圖書,1,藍
156,平圖贈00153,繪本,乞丐王子,風車圖書,1,藍
157,平圖贈00154,繪本,王子與天鵝,風車圖書,1,藍
158,平圖贈00155,繪本,青蛙王子,風車圖書,1,藍
159,平圖贈00156,繪本,三劍客,風車圖書,1,藍
160,平圖贈00157,繪本,豆子,漢聲,1,藍
161,平圖贈00158,繪本,工具,漢聲,1,藍
162,平圖贈00159,繪本,著涼,漢聲,1,藍
163,平圖贈00160,繪本,骨頭,漢聲,1,藍
164,平圖贈00161,繪本,眼睛的故事,漢聲,1,藍
165,平圖贈00162,繪本,奇妙的尾巴,漢聲,1,藍
166,平圖贈00163,繪本,蒲公英,漢聲,1,藍
167,平圖贈00164,繪本,放屁,漢聲,1,藍
168,平圖贈00165,繪本,鼻孔的故事,漢聲,1,藍
169,平圖贈00166,繪本,我們是好朋友,漢聲,1,藍
170,平圖贈00167,繪本,爸爸走丟了,漢聲,1,藍
171,平圖贈00168,繪本,長頸鹿和霹靂龍,漢聲,1,藍
172,平圖贈00169,繪本,阿比的小狐狸,漢聲,1,藍
173,平圖贈00170,繪本,追追追,鹿橋文化,1,藍
174,平圖贈00171,繪本,皮球與積木,鹿橋文化,1,藍
175,平圖贈00172,繪本,小風箏與老樹怪,鹿橋文化,1,藍
176,平圖贈00173,繪本,石頭和泡泡,鹿橋文化,1,藍
177,平圖贈00174,繪本,小火龍學跳舞,鹿橋文化,1,藍
178,平圖贈00175,繪本,河馬醫生的秘密武器,鹿橋文化,1,藍
179,平圖贈00176,繪本,老龍舟的心願,美育旺旺,1,藍
180,平圖贈00177,繪本,雪妖的寶貝,美育旺旺,1,藍
181,平圖贈00178,繪本,音樂會的搗蛋鬼,美育旺旺,1,藍
182,平圖贈00179,繪本,小母雞的颱風天,美育旺旺,1,藍
183,平圖贈00180,繪本,大家都是好朋友,美育旺旺,1,藍
184,平圖贈00181,繪本,媽媽我愛你,美育旺旺,1,藍
185,平圖贈00182,繪本,勾勾手來跳舞,美育旺旺,1,藍
186,平圖贈00183,繪本,星星來的小天使,美育旺旺,1,藍
187,平圖贈00184,繪本,精靈國王的生日禮物,美育旺旺,1,藍
188,平圖贈00185,繪本,毛毛蟲的新衣裳,美育旺旺,1,藍
189,平圖贈00186,繪本,聖誕老公公的鈴鐺不見了,美育旺旺,1,藍
190,平圖贈00187,繪本,再等一會兒,美育旺旺,1,藍
191,平圖贈00188,繪本,搗蛋精靈的動動鼓,美育旺旺,1,藍
192,平圖贈00189,繪本,新年快樂,美育旺旺,1,粉紅色
193,平圖贈00190,語文,紅田嬰,信誼,1,黃
194,平圖贈00191,語文,火金姑,信誼,1,黃
195,平圖贈00192,語文,處處聞啼鳥, 信誼,1,黃
196,平圖贈00193,語文,魚戲蓮葉間,信誼,1,黃
197,平圖贈00194,語文,乞丐王子,風車圖書,1,黃
198,平圖贈00195,語文,海角一樂園,風車圖書,1,黃
199,平圖贈00196,語文,唐吉軻德,風車圖書,1,黃
200,平圖贈00197,語文,木馬屠城記,風車圖書,1,黃
201,平圖贈00198,語文,圓桌武士,風車圖書,1,黃
202,平圖贈00199,語文,金銀島,風車圖書,1,黃
203,平圖贈00200,語文,環遊世界80天,風車圖書,1,黃
204,平圖贈00201,語文,鐘樓怪人,風車圖書,1,黃
205,平圖贈00202,語文,所羅門王寶藏,風車圖書,1,黃
206,平圖贈00203,自然,分類和演化(動物),泛亞國際,1,綠
207,平圖贈00204,自然,分類和演化(植物),泛亞國際,1,綠
208,平圖贈00205,自然,天敵,泛亞國際,1,綠
209,平圖贈00206,自然,青蛙和蟾蜍,泛亞國際,1,綠
210,平圖贈00207,自然,蜻蜓和豆娘,泛亞國際,1,綠
211,平圖贈00208,自然,水獺和海狸,泛亞國際,1,綠
212,平圖贈00209,自然,海豹、海獅和海象,泛亞國際,1,綠
213,平圖贈00210,自然,蝸牛,親親自然,1,綠
214,平圖贈00211,自然,螃蟹,親親自然,1,綠
215,平圖贈00212,自然,蛋,親親自然,1,綠
216,平圖贈00213,自然,到農場走走,親親自然,1,綠
217,平圖贈00214,自然,好冷好冷好熱好熱,親親自然,1,綠
218,平圖贈00215,自然,我們穿的衣服,親親自然,1,綠
219,平圖贈00216,自然,大自然音樂會,親親自然,1,綠
220,平圖贈00217,自然,米從哪裡來,親親自然,1,綠
221,平圖贈00218,自然,柿子,親親自然,1,綠
222,平圖贈00219,自然,橘子,親親自然,1,綠
223,平圖贈00220,自然,豬寶貝,親親自然,1,綠
224,平圖贈00221,自然,動物的建築師,親親自然,1,綠
225,平圖贈00222,自然,蝴蝶飛呀飛,親親自然,1,綠
226,平圖贈00223,自然,大腳ㄚ小腳丫,親親自然,1,綠
227,平圖贈00224,自然,動物冠軍王,親親自然,1,綠
228,平圖贈00225,自然,城市飛行家,親親自然,1,綠
229,平圖贈00226,自然,環保小尖兵,親親自然,1,綠
230,平圖贈00227,自然,小鏡頭大世界,親親自然,1,綠
231,平圖贈00228,自然,博物館開門,親親自然,1,綠
232,平圖贈00229,自然,黑漆漆的夜晚,親親自然,1,綠
233,平圖贈00230,自然,有趣的繩子,親親自然,1,綠
234,平圖贈00231,自然,到部落走走,親親自然,1,綠
235,平圖贈00232,自然,好戲開鑼,親親自然,1,綠
236,平圖贈00233,自然,創意遊樂園,親親自然,1,綠
237,平圖贈00234,自然,看漫畫學破音字,智揚,1,綠
238,平圖贈00235,自然,兒童學習百科-1,光復,1,綠
239,平圖贈00236,自然,兒童學習百科-2,光復,1,綠
240,平圖贈00237,自然,兒童學習百科-3,光復,1,綠
241,平圖贈00238,自然,兒童學習百科-4,光復,1,綠
242,平圖贈00239,自然,兒童學習百科-5,光復,1,綠
243,平圖贈00240,自然,兒童學習百科-6,光復,1,綠
244,平圖贈00241,自然,兒童學習百科-7,光復,1,綠
245,平圖贈00242,自然,兒童學習百科-8,光復,1,綠
246,平圖贈00243,自然,兒童學習百科-9,光復,1,綠
247,平圖贈00244,自然,兒童學習百科-10,光復,1,綠
248,平圖贈00245,自然,兒童學習百科-11,光復,1,綠
249,平圖贈00246,自然,兒童學習百科-12,光復,1,綠
250,平圖贈00247,自然,兒童學習百科-13,光復,1,綠
251,平圖贈00248,自然,兒童學習百科-14,光復,1,綠
252,平圖贈00249,自然,兒童學習百科-15,光復,1,綠
253,平圖贈00250,自然,兒童學習百科-16,光復,1,綠
254,平圖贈00251,自然,兒童學習百科-17,光復,1,綠
255,平圖贈00252,自然,兒童學習百科-18,光復,1,綠
256,平圖贈00253,自然,兒童學習百科-19,光復,1,綠
257,平圖贈00254,自然,兒童學習百科-20,光復,1,綠
258,平圖贈00255,繪本,綠野仙蹤,風車圖書,1,藍
259,平圖贈00256,繪本,獅子娶新娘,小馬哥,1,藍
260,平圖贈00257,繪本,怪獸的謎語,小馬哥,1,藍
261,平圖贈00258,繪本,阿里巴巴與四十大盜,小馬哥,1,藍
262,平圖贈00259,繪本,鞋匠與小仙童,小馬哥,1,藍
263,平圖贈00260,繪本,吹笛手,小馬哥,1,藍
264,平圖贈00261,繪本,穿長靴的貓,小馬哥,1,藍
265,平圖贈00262,繪本,給我一張衛生紙,世一,1,藍
266,平圖贈00263,繪本,游吧！小烤魚,隆發,1,藍
267,平圖贈00264,繪本,小胖鵝的大屁股,隆發,1,藍
268,平圖贈00265,繪本,我要上一年級了,隆發,1,藍
269,平圖贈00266,,肚子餓時，昆蟲怎麼辦？,隆發,1,綠
270,平圖贈00267,,下雨時，昆蟲怎麼辦？,隆發,1,綠
271,平圖贈00268,,遇到敵人時，昆蟲怎麼辦？,隆發,1,
272,平圖贈00269,繪本,虛榮小姐,智茂文化,1,藍
