"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書",,,,,,
項次,編碼,類別,書名,出版社,數量,備註
411,平圖贈00408,繪本,誰偷了黃金？,,,
412,平圖贈00409,繪本,復活節兔子的寶寶,,,
413,平圖贈00410,繪本,泰迪熊的萬聖節,,,
414,平圖贈00411,繪本,睡不著的小老鼠,,,
415,平圖贈00412,繪本,善良的雪人*2,,,
416,平圖贈00413,繪本,穿長統靴的貓,,,
417,平圖贈00414,繪本,春天的榛果,,,
418,平圖贈00415,繪本,溫暖的家,,,
419,平圖贈00416,繪本,寶弟的風箏,,,
420,平圖贈00417,繪本,泰迪熊和兔子,,,
421,平圖贈00418,繪本,小貓咪摩麗絲，不要怕!,,,
422,平圖贈00419,繪本,巴布的小花,,,
423,平圖贈00420,繪本,青春泉,,,
424,平圖贈00421,繪本,佛勞利的冒險,,,
425,平圖贈00422,繪本,怪獸孟思特,,,
426,平圖贈00423,,恐龍奧秘一本通,,,
427,平圖贈00424,,睡美人,,,
428,平圖贈00425,,灰姑娘,,,
429,平圖贈00426,,兒童讀三字經,,,
430,平圖贈00427,,妙奇地歡樂美語,,,
431,平圖贈00428,,一起來種花,,,
432,平圖贈00429,,爺爺的花園,,,
433,平圖贈00430,,山谷的南瓜,,,
434,平圖贈00431,,去朋友家做客,,,
435,平圖贈00432,,漂亮的玻璃瓶,,,
436,平圖贈00433,,誰的寶貝蛋,,,
437,平圖贈00434,,14隻老鼠賞月,,,
438,平圖贈00435,,14隻老鼠吃早餐,,,
439,平圖贈00436,,14隻老鼠大搬家,,,
440,平圖贈00437,,14隻老鼠過冬天,,,
441,平圖贈00438,,眼睛的故事,,,
442,平圖贈00439,,龜甲,,,
443,平圖贈00440,,奇妙的尾巴,,,
444,平圖贈00441,,紙飛機,,,
445,平圖贈00442,,院子裡的小生物,,,
446,平圖贈00443,,ABC圖畫書,,,
447,平圖贈00444,,算算看,,,
448,平圖贈00445,,空罐子，真好玩！,,,
449,平圖贈00446,,風的禮物、小氣的磨坊主人,,,
450,平圖贈00447,,閣樓上的朋友、再見吧，小松鼠,,,
449,平圖贈00448,,空罐子，真好玩！,,,
450,平圖贈00449,,漂流的玻璃瓶,,,
451,平圖贈00450,,萬丹紅~紅豆妹,,,
452,平圖贈00451,,善良的雪人*2,,,
453,平圖贈00452,,從前從前有一座森林,,,
454,平圖贈00453,,狼與七隻小羊,,,
455,平圖贈00454,,我的第一本寓言故事,,,
456,平圖贈00455,,自然教室,,,
457,平圖贈00456,,生命的起源,,,
458,平圖贈00457,,化石,,,
459,平圖贈00458,,動物的生殖,,,
460,平圖贈00459,,植物的繁殖,,,
461,平圖贈00460,,動物的移棲,,,
462,平圖贈00461,,蝙蝠,,,
463,平圖贈00462,,翠鳥和鵜鶘,,,
464,平圖贈00463,,食蟲植物,,,
465,平圖贈00464,,天敵,,,
466,平圖贈00465,,動物的學習,,,
467,平圖贈00466,,有袋動物,,,
468,平圖贈00467,,鴴和鷸,,,
469,平圖贈00468,,青蛙與蟾蜍,,,
470,平圖贈00469,,水母,,,
471,平圖贈00470,,水棲昆蟲,,,
472,平圖贈00471,,松鼠和鼯鼠,,,
473,平圖贈00472,,蠑螈與山椒魚,,,
474,平圖贈00473,,海鹿與海麒麟,,,
475,平圖贈00474,,蜻蜓與豆娘,,,
476,平圖贈00475,,蟬的一生,,,
477,平圖贈00476,,鹿,,,
478,平圖贈00477,,海鳥奇觀,,,
479,平圖贈00478,,植物的根,,,
480,平圖贈00479,,微小生物的世界,,,
481,平圖贈00480,,雀,,,
482,平圖贈00481,,啄木鳥,,,
483,平圖贈00482,,蛾,,,
484,平圖贈00483,,瀕臨絕種的動物,,,
485,平圖贈00484,,水獺和海狸,,,
486,平圖贈00485,,狼和狐狸,,,
487,平圖贈00486,,鶴,,,
488,平圖贈00487,,鱷魚,,,
489,平圖贈00488,,雉,,,
490,平圖贈00489,,蝸牛和蛞蝓,,,
491,平圖贈00490,,自然四季,,,
492,平圖贈00491,,水生植物,,,
493,平圖贈00492,,鷲和鷹,,,
494,平圖贈00493,,寄生、附生、共生(植物),,,
495,平圖贈00494,,飛躍的羚羊,,,
496,平圖贈00495,,燕子和雨燕,,,
497,平圖贈00496,,鯊與鱝,,,
498,平圖贈00497,,椿象,,,
499,平圖贈00498,,自然保護,,,
500,平圖贈00499,,雞婆的力量,,,
501,平圖贈00500,,第二人生迎接熟齡新社會運動,,,
502,平圖贈00501,,幸福是我們的義務,,,
503,平圖贈00502,,台灣女生 瑞典樂活,,,
504,平圖贈00503,,蝴蝶的一生,,,
505,平圖贈00504,,龜,,,
