"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書",,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健)                           黃色-->語文類(生命教育類)      綠色-->自然科學類  粉紅色-->社會(社區類)                    紫色-->性別教育    淺藍色-->情緒,,,,,,
項次,編碼,類別,書名,出版社,數量,
74,104學年教育部贈書0074,黃色,我們相親相愛,格林,1,
75,104學年教育部贈書0075,藍色,陳進‧悠閒,雄獅,1,
76,104學年教育部贈書0076,藍色,爸爸的頭不見了,道聲,1,
77,104學年教育部贈書0077,藍色,娜娜的一天,道聲,1,
78,104學年教育部贈書0078,粉紅色,蘇菲的傑作 : 一隻蜘蛛的故事,維京,1,
79,104學年教育部贈書0079,藍色,在圓木橋上搖晃,維京,1,
80,104學年教育部贈書0080,綠色,綠,維京,1,
81,104學年教育部贈書0081,藍色,露西的畫,維京,1,
82,104學年教育部贈書0082,粉紅色,22個孤兒,臺灣東方,1,
83,104學年教育部贈書0083,藍色,哇，不見了！,臺灣麥克,1,
84,104學年教育部贈書0084,藍色,洗澡啦！,臺灣麥克,1,
85,104學年教育部贈書0085,黃色,拉拉跳芭蕾,遠見天下,1,
86,104學年教育部贈書0086,紅色,恐龍愛自己,遠流,1,
87,104學年教育部贈書0087,藍色,好髒的哈利,遠流,1,
88,104學年教育部贈書0088,黃色,仙人掌旅館,遠流,1,
89,104學年教育部贈書0089,粉紅色,老鼠娶新娘,遠流,1,
90,104學年教育部贈書0090,粉紅色,和我玩好嗎？,遠流,1,
91,104學年教育部贈書0091,藍色,小蓮遊莫內花園,遠流,1,
92,104學年教育部贈書0092,藍色,莎莉離水遠一點,遠流,1,
93,104學年教育部贈書0093,藍色,"天亮了,開窗囉！",遠流,1,
94,104學年教育部贈書0094,綠色,快樂的一天,遠流,1,
95,104學年教育部贈書0095,藍色,風是什麼顏色？,遠流,1,
96,104學年教育部贈書0096,粉紅色,老房子,親親,1,
97,104學年教育部贈書0097,藍色,行道樹,親親,1,
98,104學年教育部贈書0098,黃色,可愛的尺,聯經,1,
99,104學年教育部贈書0099,黃色,小傷疤,聯經,1,
100,104學年教育部贈書0100,藍色,飛呀，老鷹，飛呀！一個非洲故事,聯經,1,
,,,,,,
