"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書清冊",,,,,,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健) 黃色-->語文類   (生命教育類)             綠色-->自然科學類  粉紅色-->社會(社區類)  紫色-->性別教育    淺藍色-->情緒,,,,,,,,,,
數量,編碼,圖書分類,書名,出版社,單位,數量,備註,分類,,
58,007-4-07-EA-058,性別教育,男生和女生不一樣,臺灣麥克,套,1,,紫色,,
59,007-4-07-EA-059,身體健康,為什麼會打噴嚏、放屁？,臺灣麥克,套,1,,紅色,,
60,007-4-07-EA-060,身體健康,好痛！好痛！為什麼？,臺灣麥克,套,1,,紅色,,
61,007-4-07-EA-061,身體健康,身體迷宮大探險,臺灣麥克,套,1,,紅色,,
62,007-4-07-EA-062,繪本,貝絲的心願,巧育文化,套,1,,藍色,,
63,007-4-07-EA-063,社會,真的！,巧育文化,套,1,,粉紅色,,
64,007-4-07-EA-064,自然,沙漠中的一桶水,巧育文化,套,1,,綠色,,
65,007-4-07-EA-065,社會,避雨,巧育文化,套,1,,粉紅色,,
66,007-4-07-EA-066,社會,豬奶奶不在家,巧育文化,套,1,,粉紅色,,
67,007-4-07-EA-067,社會,流浪貓,巧育文化,套,1,,粉紅色,,
68,007-4-07-EA-068,社會,對不起,巧育文化,套,1,,粉紅色,,
69,007-4-07-EA-069,社會,請,巧育文化,套,1,,粉紅色,,
70,007-4-07-EA-070,社會,我愛你,巧育文化,套,1,,粉紅色,,
71,007-4-07-EA-071,社會,謝謝你,巧育文化,套,1,,粉紅色,,
72,007-4-07-EA-072,社會,吉娜的布偶小狐狸,巧育文化,套,1,,粉紅色,,
73,007-4-07-EA-073,社會,樵夫的奇幻歷險,巧育文化,套,1,,粉紅色,,
74,007-4-07-EA-074,繪本,媽媽不在家,巧育文化,套,1,,藍色,,
75,007-4-07-EA-075,繪本,莫先生的草地,巧育文化,套,1,,藍色,,
