"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書清冊",,,,,,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健) 黃色-->語文類   (生命教育類)             綠色-->自然科學類  粉紅色-->社會(社區類)  紫色-->性別教育    淺藍色-->情緒,,,,,,,,,,
數量,編碼,圖書分類,書名,出版社,單位,數量,備註,分類,,
267,007-4-07-EA-255,,年紀最小的班級裡，個子最小的女孩,維京,本,1,106.07購入,,,
268,007-4-07-EA-256,,噠噠噠！爹地超人,小魯,本,1,106.07購入,,,
269,007-4-07-EA-257,,勇敢小火車：卡爾的特別任務(加贈劇場版故事CD),親子天下,本,1,106.07購入,,,
270,007-4-07-EA-258,,100層的巴士,小魯,本,1,106.07購入,,,
271,007-4-07-EA-259,,畫畫不用模仿別人：孩子的畫畫課5,大穎文化,本,1,106.07購入,,,
272,007-4-07-EA-260,,畫畫是在說故事（孩子的畫畫課 4）,大穎文化,本,1,106.07購入,,,
273,007-4-07-EA-261,,每個人對畫的看法都不一樣（孩子的畫畫課3）,大穎文化,本,1,106.07購入,,,
274,007-4-07-EA-262,,我的畫可以展覽， 送給朋友更好：孩子的畫畫課2,大穎文化,本,1,106.07購入,,,
275,007-4-07-EA-263,,用什麼顏色畫天空才對？：孩子的畫畫課1,大穎文化,本,1,106.07購入,,,
276,007-4-07-EA-264,,如果你亂丟香蕉皮……,大穎文化,本,1,106.07購入,,,
277,007-4-07-EA-265,,砰！是誰闖的禍？,大穎文化,本,1,106.07購入,,,
278,007-4-07-EA-266,,停電了！,小天下,本,1,106.07購入,,,
279,007-4-07-EA-267,,阿公好聰明！,大穎文化,本,1,106.07購入,,,
,007-4-07-EA-268,,大家一起玩（共4冊）,親子天下,套,1,106.07購入,,,
280,007-4-07-EA-268-1,,大家一起做料理,親子天下,本,1,106.07購入,,,
281,007-4-07-EA-268-2,,大家一起來畫畫,親子天下,本,1,106.07購入,,,
282,007-4-07-EA-268-3,,大家一起搭積木,親子天下,本,1,106.07購入,,,
283,007-4-07-EA-268-4,,大家一起鋪鐵軌,親子天下,本,1,106.07購入,,,
284,007-4-07-EA-269,,奶奶慢慢忘記我了,大穎文化,本,1,106.07購入,,,
285,007-4-07-EA-270,,照顧我們的地球,上誼文化公,本,1,106.07購入,,,
286,007-4-07-EA-271,,爺爺的肉丸子湯,台灣東方,本,1,106.07購入,,,
287,007-4-07-EA-272,,不再讓爺爺孤單,大穎文化,本,1,106.07購入,,,
